Date,Product,Region,Sales
2011-01-01,Laptop,Central,213.28
2011-01-02,Smartwatch,South,198.31
2011-01-03,Tablet,South,218.87
2011-01-04,Smartphone,East,241.66
2011-01-05,Smartphone,South,198.64
2011-01-06,Smartwatch,West,199.55
2011-01-07,Accessory,Central,245.79
2011-01-08,Laptop,East,226.4
2011-01-09,Smartphone,West,196.37
2011-01-10,Smartphone,West,222.57
2011-01-11,Smartwatch,West,198.32
2011-01-12,Accessory,North,199.16
2011-01-13,Accessory,West,217.74
2011-01-14,Smartwatch,North,164.74
2011-01-15,Smartphone,South,170.34
2011-01-16,Laptop,North,200.28
2011-01-17,Smartphone,West,189.89
2011-01-18,Accessory,Central,223.94
2011-01-19,Smartphone,Central,194.25
2011-01-20,Laptop,South,182.51
2011-01-21,Tablet,West,255.31
2011-01-22,Smartphone,North,213.88
2011-01-23,Smartwatch,Central,222.06
2011-01-24,Tablet,East,185.59
2011-01-25,Smartwatch,West,208.44
2011-01-26,Smartwatch,West,225.65
2011-01-27,Smartwatch,East,194.92
2011-01-28,Smartphone,Central,233.91
2011-01-29,Accessory,East,210.31
2011-01-30,Tablet,South,218.83
2011-01-31,Laptop,North,211.88
2011-02-01,Accessory,North,274.01
2011-02-02,Smartphone,Central,228.15
2011-02-03,Smartwatch,East,202.81
2011-02-04,Laptop,West,250.58
2011-02-05,Tablet,West,200.25
2011-02-06,Accessory,West,236.74
2011-02-07,Accessory,South,183.26
2011-02-08,Laptop,South,199.78
2011-02-09,Smartphone,West,238.62
2011-02-10,Tablet,Central,252.87
2011-02-11,Laptop,South,239.4
2011-02-12,Smartwatch,South,232.91
2011-02-13,Tablet,North,228.96
2011-02-14,Accessory,North,200.19
2011-02-15,Laptop,Central,219.82
2011-02-16,Accessory,South,226.95
2011-02-17,Accessory,South,265.53
2011-02-18,Accessory,East,248.32
2011-02-19,Smartphone,Central,196.27
2011-02-20,Accessory,Central,249.05
2011-02-21,Smartwatch,East,231.92
2011-02-22,Smartwatch,East,225.21
2011-02-23,Tablet,North,257.99
2011-02-24,Accessory,Central,269.03
2011-02-25,Accessory,Central,267.09
2011-02-26,Laptop,East,223.36
2011-02-27,Smartphone,West,237.13
2011-02-28,Tablet,West,253.65
2011-03-01,Accessory,North,270.26
2011-03-02,Laptop,West,234.38
2011-03-03,Smartphone,West,242.19
2011-03-04,Tablet,West,219.63
2011-03-05,Tablet,South,217.83
2011-03-06,Accessory,North,268.48
2011-03-07,Tablet,East,282.49
2011-03-08,Laptop,West,247.19
2011-03-09,Tablet,South,274.47
2011-03-10,Smartwatch,West,258.8
2011-03-11,Laptop,South,234.0
2011-03-12,Smartphone,North,259.51
2011-03-13,Smartphone,West,289.27
2011-03-14,Accessory,South,250.24
2011-03-15,Accessory,Central,290.57
2011-03-16,Smartwatch,Central,186.25
2011-03-17,Smartphone,South,272.57
2011-03-18,Smartphone,West,254.47
2011-03-19,Smartphone,West,245.07
2011-03-20,Smartphone,North,255.08
2011-03-21,Tablet,North,203.32
2011-03-22,Laptop,East,247.72
2011-03-23,Laptop,North,262.34
2011-03-24,Smartwatch,West,290.54
